population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,All Population,5,Prevalence,84,Ireland,3,Both,27,Age-standardized,558,Mental disorders,2,Percent,2000,0.14151672486628,0.1542950585749899,0.1292828083444965
1,All Population,5,Prevalence,84,Ireland,3,Both,27,Age-standardized,558,Mental disorders,3,Rate,2000,13081.748320979412,14290.16794226581,11968.36189180321
1,All Population,5,Prevalence,131,Nicaragua,3,Both,27,Age-standardized,558,Mental disorders,2,Percent,2000,0.1187744058988216,0.1276208067920135,0.1099213956005047
1,All Population,5,Prevalence,131,Nicaragua,3,Both,27,Age-standardized,558,Mental disorders,3,Rate,2000,11635.08151203828,12524.34113912259,10759.36873918519
1,All Population,5,Prevalence,52,Romania,3,Both,27,Age-standardized,558,Mental disorders,2,Percent,2000,0.1115598711678182,0.1238726179012533,0.0999559890566911
1,All Population,5,Prevalence,52,Romania,3,Both,27,Age-standardized,558,Mental disorders,3,Rate,2000,10795.44739222455,11981.25375141295,9647.17229110547
1,All Population,5,Prevalence,205,Côte d'Ivoire,3,Both,27,Age-standardized,558,Mental disorders,2,Percent,2000,0.1172739745955947,0.1278288008464534,0.1065601293432137
1,All Population,5,Prevalence,205,Côte d'Ivoire,3,Both,27,Age-standardized,558,Mental disorders,3,Rate,2000,11683.662192145259,12732.828350922178,10614.420621752051
1,All Population,5,Prevalence,182,Malawi,3,Both,27,Age-standardized,558,Mental disorders,2,Percent,2000,0.1052033108355289,0.1150767759152047,0.0960867289567398
1,All Population,5,Prevalence,182,Malawi,3,Both,27,Age-standardized,558,Mental disorders,3,Rate,2000,10460.44774684932,11443.73559478348,9547.63669227579
1,All Population,5,Prevalence,15,Myanmar,3,Both,27,Age-standardized,558,Mental disorders,2,Percent,2000,0.0816219765388036,0.0899254752337044,0.0738669347260981
1,All Population,5,Prevalence,15,Myanmar,3,Both,27,Age-standardized,558,Mental disorders,3,Rate,2000,8120.006830231099,8952.41973820762,7353.0320308502305
1,All Population,5,Prevalence,204,Chad,3,Both,27,Age-standardized,558,Mental disorders,2,Percent,2000,0.1261986217279818,0.1376832595636694,0.1139196699990159
1,All Population,5,Prevalence,204,Chad,3,Both,27,Age-standardized,558,Mental disorders,3,Rate,2000,12590.633753293529,13734.78910418225,11367.84836382192
1,All Population,5,Prevalence,162,Bhutan,3,Both,27,Age-standardized,558,Mental disorders,2,Percent,2000,0.1080258915845621,0.1190105087766653,0.0966128362636779
1,All Population,5,Prevalence,162,Bhutan,3,Both,27,Age-standardized,558,Mental disorders,3,Rate,2000,10506.197055043629,11584.32969484689,9412.35852120407
1,All Population,5,Prevalence,218,Togo,3,Both,27,Age-standardized,558,Mental disorders,2,Percent,2000,0.1346284171014811,0.1587235143499952,0.1163491339931996
1,All Population,5,Prevalence,218,Togo,3,Both,27,Age-standardized,558,Mental disorders,3,Rate,2000,13440.10851988369,15843.625522197219,11611.06407822788
1,All Population,5,Prevalence,76,Belgium,3,Both,27,Age-standardized,558,Mental disorders,2,Percent,2000,0.1399846780109418,0.1544357946051642,0.1280003839462901
1,All Population,5,Prevalence,76,Belgium,3,Both,27,Age-standardized,558,Mental disorders,3,Rate,2000,12759.343199881989,14096.471200277769,11668.382236457479
